,Table 8. Health outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Infants exclusively breastfed,,Infants lacking immunization ,,,,Child malnutrition,,Mortality rates,,,,,,,,Deaths due to,,,,,,,,,,,
,,,,DTP,,Measles,, Stunting (moderate or severe),,Infant,,Under-five ,,Female,,Male,,Malaria,,Tuberculosis,,"HIV prevalence, adult",,Life expectancy at age 60,,Physicians,,Public health expenditure,
HDI rank,Country,(% ages 0–5 months),,(% of one-year-olds),,,,(% under age 5),,"(per 1,000 live births)",,,,"Adult                   (per 1,000 people)",,,,"(per 100,000 people)",,,,(% ages 15–49),,(years),,"(per 10,000 people)",,(% of GDP),
,,2010–2015,a,2014,,2014,,2010–2015,a,2015,,2015,,2014,,2014,,2012,,2014,,2015,,2010/2015,b,2001–2014,a,2014,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,..,,1,,6,,..,,2.0,,2.6,,44,,69,,..,,0.2,,..,,23.9,,42.8,,8.3,
2,Australia,..,,8,,7,,2.0,c,3.0,,3.8,,..,,..,,..,,0.2,,0.2,,24.9,,32.7,,6.3,
2,Switzerland,..,,2,,7,,..,,3.4,,3.9,,..,,..,,..,,0.1,,..,,25.0,,40.5,,7.7,
4,Germany,..,,2,,3,,1.3,c,3.1,,3.7,,..,,..,,..,,0.4,,..,,23.5,,38.9,,8.7,
5,Denmark,..,,4,,10,,..,,2.9,,3.5,,..,,..,,..,,0.4,,..,,22.8,,34.9,,9.2,
5,Singapore,..,,2,,5,,4.4,c,2.1,,2.7,,39,,71,,..,,1.0,,..,,25.1,,19.5,,2.1,
7,Netherlands,..,,2,,4,,..,,3.2,,3.8,,..,,..,,..,,0.1,,..,,23.8,,28.6,,9.5,
8,Ireland,..,,2,,7,,..,,3.0,,3.6,,..,,..,,..,,0.4,,..,,23.4,,26.7,,5.1,
9,Iceland,..,,4,,10,,..,,1.6,,2.0,,39,d,67,d,..,,0.3,,..,,24.5,,34.8,,7.2,
10,Canada,..,,2,,5,,..,,4.3,,4.9,,..,,..,,..,,0.2,,..,,24.7,,20.7,,7.4,
10,United States,..,,2,,9,,2.1,,5.6,,6.5,,78,d,131,d,..,,0.1,,..,,23.3,,24.5,,8.3,
