,Table 12. Human security,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,Suicide rate,,,,Justification of wife beating,,,,Violence against women ever experienced,,,a,Depth of food deficit,
,,Birth registration,,Refugees by country of origin ,,Internally displaced persons,,Homeless people due to natural disaster,,Orphaned children,,Prison population,,Homicide rate,,"(per 100,000 people)",,,,(% ages 15-49),,,,Intimate partner,,Nonintimate partner,,(kilocalories per person per day),
HDI rank,Country,(% under age 5),,(thousands),,(thousands),,(average annual per million people),,(thousands),,"(per 100,000 people)",,"(per 100,000 people)",,Female,,Male,,Female,,Male,,(%),,,,,
,,2010-2015,b,2015,c,2015,,2005/2015,,2014,,2004-2015,b,2010-2014,b,2012,,2012,,2010-2015,b,2010-2015,b,2005-2015,b,2005-2015,b,2013/2015,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,100,,0.0,,..,,0,,..,,71,,0.6,,5.2,,13.0,,..,,..,,27.0,,..,,..,
2,Australia,100,,0.0,,..,,57,,..,,151,,1.0,,5.2,,16.1,,..,,..,,16.9,,..,,..,
2,Switzerland,100,,0.0,,..,,0,,..,,84,,0.5,,5.1,,13.6,,..,,..,,..,,..,,..,
4,Germany,100,,0.2,,..,,0,,..,,78,,0.9,,4.1,,14.5,,..,,..,,22.0,,7.0,,..,
5,Denmark,100,,0.0,,..,,0,,..,,61,,1.0,,4.1,,13.6,,..,,..,,32.0,,11.0,,..,
5,Singapore,..,,0.1,,..,,0,,..,,227,,0.3,,5.3,,9.8,,..,,..,,6.1,,..,,..,
7,Netherlands,100,,0.1,,..,,0,,..,,69,,0.7,,4.8,,11.7,,..,,..,,25.0,,12.0,,..,
8,Ireland,100,,0.0,,..,,0,,..,,80,,1.1,,5.2,,16.9,,..,,..,,15.0,,5.0,,..,
9,Iceland,100,,..,,..,,0,,..,,45,,0.3,,6.7,,21.0,,..,,..,,22.4,,..,,..,
10,Canada,100,,0.1,,..,,19,,..,,106,,1.4,,4.8,,14.9,,..,,..,,..,,..,,..,
10,United States,100,,4.8,,..,,16,,..,,698,,3.9,,5.2,,19.4,,..,,..,,..,,..,,..,
12,"Hong Kong, China (SAR)",..,,0.0,,..,,0,,..,,114,,0.9,,..,,..,,..,,..,,..,,..,,..,
13,New Zealand,100,,0.0,,..,,15,,..,,194,,0.9,,5.0,,14.4,,..,,..,,..,,..,,..,
14,Sweden,100,,0.0,,..,,0,,..,,55,,0.9,,6.1,,16.2,,..,,..,,28.0,,12.0,,..,
15,Liechtenstein,100,,..,,..,,..,,..,,21,d,2.7,,..,,..,,..,,..,,..,,..,,..,
16,United Kingdom,100,,0.1,,..,,44,,..,,146,e,0.9,,2.6,,9.8,,..,,..,,29.0,,7.0,,..,
17,Japan,100,,0.1,,..,,29,,..,,48,,0.3,,10.1,,26.9,,..,,..,,..,,..,,..,
18,Korea (Republic of),..,,0.4,,..,,8,,..,,101,,0.7,,18.0,,41.7,,..,,..,,..,,..,,4,
19,Israel,100,,0.8,,..,,0,,..,,256,,1.7,,2.3,,9.8,,..,,..,,..,,..,,..,
20,Luxembourg,100,,0.0,,..,,0,,..,,112,,0.7,,4.4,,13.0,,..,,..,,22.0,,8.0,,..,
21,France,100,,0.1,,..,,1,,..,,95,d,1.2,,6.0,,19.3,,..,,..,,26.0,,9.0,,..,
22,Belgium,100,,0.1,,..,,0,,..,,105,,1.8,,7.7,,21.0,,..,,..,,24.0,,8.0,,..,
23,Finland,100,,0.0,,..,,0,,..,,57,,1.6,,7.5,,22.2,,..,,..,,30.0,,11.0,,..,
24,Austria,100,,0.0,,..,,0,,..,,95,,0.5,,5.4,,18.2,,..,,..,,13.0,,4.0,,..,
25,Slovenia,100,,0.0,,..,,47,,..,,73,,0.7,,4.4,,20.8,,..,,..,,13.0,,4.0,,..,
26,Italy,100,,0.1,,..,,116,,..,,86,,0.8,,1.9,,7.6,,..,,..,,19.0,,5.0,,..,
27,Spain,100,,0.1,,..,,30,,..,,136,,0.7,,2.2,,8.2,,..,,..,,13.0,,3.0,,..,
28,Czech Republic,100,,1.3,,..,,0,,..,,195,,0.7,,3.9,,21.5,,..,,..,,21.0,,4.0,,..,
29,Greece,100,,0.1,,..,,33,,..,,109,,0.1,,1.3,,6.3,,..,,..,,19.0,,1.0,,..,
30,Brunei Darussalam,..,,..,,..,,0,,..,,132,,0.5,,5.2,,7.7,,..,,..,,..,,..,,13,
30,Estonia,100,,0.3,,..,,0,,..,,216,,3.1,,3.8,,24.9,,..,,..,,20.0,,9.0,,..,
32,Andorra,100,,0.0,,..,,..,,..,,72,,0.0,,..,,..,,..,,..,,..,,..,,..,
33,Cyprus,100,,0.0,,272.0,,0,,..,,94,d,0.1,,1.5,,7.7,,..,,..,,15.0,,2.0,,..,
33,Malta,100,,0.0,,..,,..,,..,,135,,1.4,,0.7,,11.1,,..,,..,,15.0,,5.0,,..,
33,Qatar,..,,0.0,,..,,..,,..,,53,,7.2,,1.2,,5.7,,7.0,,16.0,,..,,..,,..,
36,Poland,100,,1.3,,..,,0,,..,,191,,0.7,,3.8,,30.5,,..,,..,,13.0,,2.0,,..,
37,Lithuania,100,,0.1,,..,,0,,..,,268,,5.5,,8.4,,51.0,,..,,..,,24.0,,5.0,,..,
38,Chile,99,f,0.6,,..,,"4,573",,..,,247,,3.6,,5.8,,19.0,,..,,..,,..,,..,,22,
38,Saudi Arabia,..,,0.7,,..,,32,,..,,161,,6.2,,0.2,,0.6,,..,,..,,..,,..,,10,
40,Slovakia,100,,0.3,,..,,0,,..,,184,,1.1,,2.5,,18.5,,..,,..,,23.0,,4.0,,..,
41,Portugal,100,,0.0,,..,,1,,..,,138,,0.9,,3.5,,13.6,,..,,..,,19.0,,1.0,,..,
42,United Arab Emirates,100,f,0.1,,..,,..,,..,,229,,0.7,,1.7,,3.9,,..,,..,,..,,..,,22,
43,Hungary,100,,1.4,,..,,0,,..,,187,,1.5,,7.4,,32.4,,..,,..,,21.0,,3.0,,..,
44,Latvia,100,,0.2,,..,,0,,..,,239,,3.9,,4.3,,30.7,,..,,..,,32.0,,7.0,,..,
45,Argentina,100,f,0.2,,..,,16,,..,,160,,7.6,,4.1,,17.2,,2.0,,..,,..,,..,,3,
45,Croatia,..,,33.5,,..,,0,,..,,89,,0.8,,4.5,,19.8,,..,,..,,13.0,,3.0,,..,
47,Bahrain,..,,0.4,,..,,0,,..,,301,,0.5,,2.9,,11.6,,..,,..,,..,,..,,..,
48,Montenegro,99,,0.7,,..,,0,,..,,174,,3.2,,6.4,,24.7,,3.0,,5.0,,..,,..,,..,
49,Russian Federation,100,,67.1,,27.0,,9,,..,,445,,9.5,,6.2,,35.1,,..,,..,,..,,..,,..,
50,Romania,..,,1.7,,..,,26,,..,,143,,1.5,,2.9,,18.4,,..,,..,,24.0,,2.0,,..,
51,Kuwait,..,,1.1,,..,,0,,..,,92,,1.8,,0.8,,1.0,,..,,..,,..,,..,,20,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Belarus,100,f,4.1,,..,,0,,..,,306,,3.6,,6.4,,32.7,,4.0,,4.0,,..,,..,,..,
52,Oman,..,,0.0,,..,,0,,..,,36,,1.1,,0.6,,1.2,,8.0,,..,,..,,..,,36,
54,Barbados,99,,0.1,,..,,0,,..,,322,,8.8,,0.6,,4.1,,3.0,,..,,..,,..,,23,
54,Uruguay,100,,0.1,,..,,269,,..,,291,,7.8,,5.2,,20.0,,2.0,,..,,..,,..,,25,
56,Bulgaria,100,,1.3,,..,,15,,..,,125,,1.6,,5.3,,16.6,,..,,..,,23.0,,6.0,,..,
56,Kazakhstan,100,,2.3,,..,,49,,..,,234,,7.4,,9.3,,40.6,,12.0,,17.0,,..,,..,,19,
58,Bahamas,..,,0.2,,..,,0,,..,,363,,29.8,,1.3,,3.6,,..,,..,,..,,..,,..,
59,Malaysia,..,,0.4,,..,,94,,..,,171,,1.9,,1.5,,4.7,,..,,..,,..,,..,,17,
60,Palau,..,,0.0,,..,,0,,..,,343,,3.1,,..,,..,,..,,..,,25.3,,15.1,,..,
60,Panama,96,,0.1,,..,,32,,..,,392,,17.4,,1.3,,8.1,,6.0,,..,,..,,..,,69,
62,Antigua and Barbuda,..,,0.1,,..,,0,,..,,373,,11.2,,..,,..,,..,,..,,..,,..,,..,
63,Seychelles,..,,0.0,,..,,0,,..,,799,,2.1,,..,,..,,..,,..,,..,,..,,..,
64,Mauritius,..,,0.1,,..,,0,,..,,155,,2.7,,2.9,,13.2,,..,,..,,..,,..,,36,
65,Trinidad and Tobago,97,g,0.4,,..,,0,,..,,258,,25.9,,6.2,,20.4,,8.0,g,..,,..,,..,,59,
66,Costa Rica,100,f,0.4,,..,,0,,..,,352,,10.0,,2.2,,11.2,,4.0,,..,,..,,..,,39,
66,Serbia,99,,..,,..,,15,,..,,148,,1.3,,5.8,,19.9,,4.0,,..,,..,,..,,..,
68,Cuba,100,,5.9,,..,,"1,307",,..,,510,,4.7,,4.5,,18.5,,4.0,f,7.0,f,..,,..,,8,
69,Iran (Islamic Republic of),99,f,84.9,,..,,25,,..,,287,,4.8,,3.6,,6.7,,..,,..,,..,,..,,36,
70,Georgia,100,,6.5,,239.0,,129,,..,,274,d,2.7,,1.0,,5.7,,7.0,g,..,,9.0,,0.2,,60,
71,Turkey,99,f,59.6,,954.0,,43,,..,,220,,4.3,,4.2,,11.8,,13.0,,..,,38.0,,..,,1,
71,Venezuela (Bolivarian Republic of),81,f,7.5,,..,,12,,..,,178,,62.0,,1.0,,4.3,,..,,..,,..,,..,,10,
73,Sri Lanka,97,g,121.4,,44.0,,"5,380",,..,,92,,2.9,,12.8,,46.4,,53.0,"f,g",..,,..,,..,,200,
74,Saint Kitts and Nevis,..,,0.0,,..,,0,,..,,607,,33.6,,..,,..,,..,,..,,..,,..,,..,
75,Albania,99,g,10.4,,..,,7,,..,,189,,4.0,,5.2,,6.6,,30.0,g,36.0,g,24.6,,..,,..,
76,Lebanon,100,g,4.4,,12.0,,0,,..,,120,,4.3,,0.6,,1.2,,10.0,"f,g",..,,..,,..,,33,
77,Mexico,93,,11.3,,287.0,,288,,..,,212,,15.7,,1.7,,7.1,,..,,..,,14.1,,..,,30,
78,Azerbaijan,94,g,9.7,,564.0,,69,,..,,236,,2.5,,1.0,,2.4,,28.0,,..,,13.5,,..,,13,
79,Brazil,96,,0.9,,..,,82,,..,,301,,24.6,,2.5,,9.4,,..,,..,,..,,..,,11,
79,Grenada,..,,0.3,,..,,0,,..,,398,,7.5,,..,,..,,..,,..,,..,,..,,..,
81,Bosnia and Herzegovina,100,g,18.7,,98.0,,0,,..,,73,e,1.3,,4.1,,18.0,,5.0,,6.0,,..,,..,,..,
82,The former Yugoslav Republic of Macedonia,100,,1.8,,0.2,,0,,..,,147,,1.6,,3.2,,7.3,,15.0,,..,,..,,..,,..,
83,Algeria,100,g,3.5,,..,,11,,..,,162,,1.5,,1.5,,2.3,,59.0,f,..,,..,,..,,21,
84,Armenia,100,,11.2,,8.4,,0,,..,,130,,2.0,,0.9,,5.0,,9.0,,20.0,,9.5,,..,,45,
84,Ukraine,100,,321.0,,"1,679.0",,6,,..,,195,d,4.4,,5.3,,30.3,,3.0,,9.0,,13.2,,1.3,,..,
86,Jordan,99,,1.8,,..,,0,,..,,150,,2.3,,1.9,,2.2,,70.0,f,..,,23.6,,..,,13,
87,Peru,97,f,3.6,,60.0,,193,,..,,242,,6.7,,2.1,,4.4,,..,,..,,36.4,,..,,54,
87,Thailand,99,f,0.2,,35.0,,25,,..,,461,,3.9,,4.5,,19.1,,13.0,,..,,..,,..,,57,
89,Ecuador,92,,1.0,,..,,89,,..,,162,,8.2,,5.3,,13.2,,..,,..,,37.5,,..,,72,
90,China,..,,212.9,,..,,203,,..,,119,d,0.8,,8.7,,7.1,,..,,..,,..,,..,,78,
91,Fiji,..,,0.9,,..,,0,,..,,174,,3.0,,4.1,,10.6,,..,,..,,64.0,,9.0,,30,
92,Mongolia,99,,2.2,,..,,0,,..,,266,,7.5,,3.7,,16.3,,10.0,,9.0,f,..,,..,,165,
92,Saint Lucia,92,,1.0,,..,,0,,..,,349,,21.6,,..,,..,,7.0,,..,,..,,..,,..,
94,Jamaica,100,,1.9,,..,,39,,..,,145,,36.1,,0.7,,1.8,,5.0,,..,,35.0,,..,,62,
95,Colombia,97,,90.8,,"6,270.0",,26,,..,,244,,27.9,,1.9,,9.1,,..,,..,,37.4,,..,,67,
96,Dominica,..,,0.0,,..,,853,,..,,300,,8.4,,..,,..,,..,,..,,..,,..,,..,
97,Suriname,99,,0.0,,..,,0,,..,,183,,9.5,,11.9,,44.5,,13.0,,..,,..,,..,,58,
97,Tunisia,99,,1.6,,..,,0,,..,,212,,3.1,,1.4,,3.4,,30.0,,..,,..,,..,,4,
99,Dominican Republic,88,,0.4,,..,,128,,..,,233,,17.4,,2.1,,6.1,,2.0,,..,,22.4,,..,,88,
99,Saint Vincent and the Grenadines,..,,1.8,,..,,499,,..,,378,,25.6,,..,,..,,..,,..,,..,,..,,46,
101,Tonga,93,,0.0,,..,,0,,..,,166,,0.1,,..,,..,,29.0,,21.0,,39.6,,..,,..,
102,Libya,..,,6.1,,500.0,,0,,..,,99,,2.5,,1.4,,2.2,,..,,..,,..,,..,,..,
103,Belize,95,,0.1,,..,,0,,..,,449,,34.4,,0.5,,4.9,,9.0,,..,,..,,..,,41,
104,Samoa,59,,0.0,,..,,0,,..,,250,,3.2,,..,,..,,37.0,,30.0,,46.1,,11.0,,22,
105,Maldives,93,g,0.0,,..,,0,,..,,341,,0.9,,4.9,,7.8,,31.0,"f,g",14.0,"f,g",19.5,,6.2,,39,
105,Uzbekistan,100,g,4.2,,..,,0,,..,,150,,3.2,,4.1,,13.2,,70.0,g,61.0,g,..,,..,,31,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Moldova (Republic of),100,,2.3,,..,,0,,..,,215,d,3.2,,4.8,,24.1,,11.0,,13.0,,45.5,,..,,..,
108,Botswana,72,g,0.3,,..,,0,,100,,188,,14.8,,2.0,,5.7,,..,,..,,..,,..,,183,
109,Gabon,90,,0.2,,..,,47,,68,,210,,9.4,,4.5,,12.1,,50.0,,40.0,,48.6,,5.0,,19,
110,Paraguay,85,f,0.1,,..,,29,,..,,158,,8.8,,3.2,,9.1,,..,,..,,..,,..,,76,
111,Egypt,99,,17.9,,78.0,,1,,..,,76,,3.2,,1.2,,2.4,,36.0,f,..,,26.0,,..,,12,
111,Turkmenistan,96,g,0.5,,..,,0,,..,,583,,4.3,,7.5,,32.5,,38.0,"f,g",..,,..,,..,,24,
