,Tabele 13. International integration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trade,,Financial flows,,,,,,,,Human mobility,,,,,,,,Communication,,,,,
,,Exports and imports,,"Foreign direct investment, net inflows",,"Private capital flows
 ",,Net official development assistance received,a,"Remittances, inflows",,Net migration rate,,Stock of immigrants ,,International student mobility,,International inbound tourists,,Internet users,,Mobile phone subscriptions,,,
HDI rank,Country,(% of GDP),,(% of GDP),,(% of GDP),,(% of GNI),,(% of GDP),,"(per 1,000 people)",,(% of population),,(% of total tertiary enrolment ),,(thousands),,(% of population),,(per 100 people),,(% change),
,,2015,b,2015,b,2015,b,2014,c,2015,b,2010/2015,d,2015,,2013,e,2014,e,2015,,2015,,2010–2015,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,68.5,,-1.5,,14.6,,..,,0.16,,9.3,f,14.2,f,-3.4,,"4,855",,96.8,,113.6,,-0.8,
2,Australia,41.0,,2.8,,-7.2,,..,,0.16,,8.9,g,28.2,g,17.1,,"6,868",,84.6,,132.8,,32.2,
2,Switzerland,114.6,,18.0,,8.5,,..,,0.34,,9.5,,29.4,,12.6,,"9,158",,88.0,,142.0,,15.3,
4,Germany,86.0,,1.4,,8.4,,..,,0.46,,3.1,,14.9,,2.8,,"32,999",,87.6,,116.7,,9.6,
5,Denmark,100.2,,0.6,,-2.1,,..,,0.42,,3.5,,10.1,,8.3,,"10,267",,96.3,,128.3,,11.0,
5,Singapore,326.1,,22.3,,8.5,,..,,..,,14.9,,45.4,,10.3,,"11,864",,82.1,,146.1,,0.5,
7,Netherlands,154.3,,9.0,,4.5,,..,,0.18,,1.3,,11.7,,5.4,,"13,925",,93.1,,123.5,,7.0,
8,Ireland,222.0,,85.5,,-64.8,,..,,0.25,,-6.0,,15.9,,-3.9,,"8,813",,80.1,,103.7,,-1.5,
9,Iceland,100.4,,2.3,,20.5,,..,,1.15,,-0.2,,11.4,,-8.2,,998,,98.2,,114.0,,6.3,
10,Canada,65.4,,3.6,,-0.1,,..,,0.09,,6.7,,21.8,,..,,"16,537",,88.5,,81.9,,8.3,
10,United States,28.1,,2.1,,-0.7,,..,,0.04,,3.2,,14.5,,3.6,,"75,011",,74.6,,117.6,,28.8,
12,"Hong Kong, China (SAR)",400.0,,58.4,,6.9,,..,,0.12,,4.2,,39.0,,-1.7,,"27,770",,84.9,,228.8,,16.9,
13,New Zealand,55.2,,-0.3,,-0.3,,..,,0.24,,0.3,,23.0,,14.0,,"2,772",,88.2,,121.8,,13.0,
14,Sweden,86.1,,3.2,,-0.1,,..,,0.66,,5.7,,16.8,,1.8,,"5,660",,90.6,,130.4,,11.3,
15,Liechtenstein,..,,..,,..,,..,,..,,..,,62.6,,-16.8,,54,,96.6,,108.8,,10.7,
16,United Kingdom,56.8,,1.8,,-18.2,,..,,0.18,,2.8,,13.2,,16.3,,"32,613",,92.0,,125.8,,1.7,
17,Japan,36.8,,0.0,,6.4,,..,,0.09,,0.6,,1.6,,3.0,,"13,413",,93.3,,125.1,,29.2,
18,Korea (Republic of),84.8,,0.4,,5.2,,..,,0.47,,1.2,,2.6,,-1.7,,"14,202",,89.9,,118.5,,13.1,
19,Israel,59.4,,3.9,,1.7,,..,,0.29,,0.5,,24.9,,-2.6,,"2,927",,78.9,,133.5,,8.7,
20,Luxembourg,391.5,,42.6,,-98.4,,..,,2.79,,18.1,,44.0,,-85.9,,"1,038",,97.3,,148.5,,3.8,
21,France,61.4,,1.8,,1.4,,..,,0.96,,1.0,,12.1,,6.6,,"83,767",,84.7,,102.6,,12.3,
22,Belgium,167.1,,-4.6,,-2.7,,..,,2.19,,4.9,,12.3,,6.6,,"7,887",,85.1,,115.7,,4.1,
23,Finland,74.3,,8.1,,-7.9,,..,,0.35,,4.0,h,5.7,h,4.4,,"4,226",,92.7,,135.5,,-13.3,
24,Austria,102.4,,1.5,,6.7,,..,,0.75,,3.5,,17.5,,13.1,,"25,291",,83.9,,157.4,,8.0,
25,Slovenia,146.3,,3.9,,4.3,,..,,1.70,,0.4,,11.4,,-0.1,,"2,411",,73.1,,113.2,,9.6,
26,Italy,57.3,,0.4,,6.3,,..,,0.52,,1.8,,9.7,,1.6,,"48,576",,65.6,,151.3,,-2.2,
27,Spain,63.8,,1.9,,3.8,,..,,0.22,,-2.6,i,12.7,i,1.4,,"64,995",,78.7,,107.9,,-3.0,
28,Czech Republic,162.5,,1.4,,-3.1,,..,,1.48,,0.6,,3.8,,6.5,,"10,617",,81.3,,129.2,,5.4,
29,Greece,60.4,,-0.1,,4.9,,..,,0.22,,-2.5,,11.3,,-0.8,,"22,033",,66.8,,114.0,,3.0,
30,Brunei Darussalam,106.6,,1.1,,6.8,,..,,..,,1.0,,24.3,,-38.3,,201,,71.2,,108.1,,-0.5,
30,Estonia,155.4,,-0.8,,3.0,,..,,1.96,,-1.8,,15.4,,-3.5,,"2,918",,88.4,,148.7,,16.8,
32,Andorra,..,,..,,..,,..,,..,,..,,59.7,,-182.3,,"2,363",,96.9,,88.1,,4.8,
33,Cyprus,108.1,,27.1,,13.9,,..,,1.29,,6.2,j,16.8,j,-61.0,,"2,441",,71.7,,95.4,,1.8,
33,Malta,182.5,,5.7,,-45.9,,..,,2.09,,3.0,,9.9,,-6.3,,"1,690",,76.2,,129.3,,20.5,
33,Qatar,90.9,,0.6,,11.7,,..,,0.26,,36.3,,75.5,,16.6,,"2,826",,92.9,,153.6,,22.9,
