,Table 11. Work and employment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employment,,,,,,,,Unemployment ,,,,,,Work that is a risk to human development,,,,,,Employment-related social security,,,,,,
,,Employment to population ratio,a,Labour force participation rate,a,Employment in agriculture ,,Employment in services ,,Total,,Youth,,Youth not in school or employment,,Vulnerable employment,,Child labour,,Working poor at PPP$3.10 a day,,Mandatory paid maternity leave,,Old-age pension recipients,,,,
HDI rank,Country,(% ages 15 and older),,,,(% of total employment),,,,(% of labour force),,(% ages 15-24),,,,(% of total employment),, (% ages 5-14),, (% of total employment),, (days),, (% of statutory pension age population),,,,
,,2015,,2015,,2010-2014,b,2010-2014,b,2015,,2015,,2010-2014,b,2005-2014,b,2009-2015,b,2004-2013,b,2015,,2004-2013,"b,c",,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,62.2,,64.9,,2.1,,77.0,,4.1,,10.1,,5.5,,5.3,,..,,..,,..,,100.0,,,,
2,Australia,60.7,,64.7,,2.6,,69.5,,6.3,,13.5,,9.8,,..,,..,,..,,..,,83.0,,,,
2,Switzerland,65.7,,68.7,,3.2,,73.9,,4.3,,7.0,,7.3,,9.1,,..,,..,,98,,100.0,,,,
4,Germany,57.6,,60.3,,1.3,,70.4,,4.6,,7.1,,6.4,,6.3,,..,,..,,98,,100.0,,,,
5,Denmark,58.1,,62.0,,2.3,,78.0,,6.3,,10.8,,5.8,,5.4,,..,,..,,126,,100.0,,,,
5,Singapore,65.0,,67.2,,..,,70.6,,3.3,,7.3,,18.9,,8.7,,..,,..,,105,,0.0,,,,
7,Netherlands,59.9,,63.8,,2.0,,75.3,,6.1,,8.8,,5.0,,12.8,,..,,..,,112,,100.0,,,,
8,Ireland,54.3,,60.0,,6.1,,75.2,,9.5,,20.9,,15.2,,12.7,,..,,..,,182,,90.5,,,,
9,Iceland,70.8,,74.1,,4.2,,77.1,,4.4,,8.7,,5.8,,8.5,,..,,..,,90,,100.0,,,,
10,Canada,61.0,,65.6,,2.1,,78.2,,6.9,,13.2,,13.3,,..,,..,,..,,105,,97.7,,,,
10,United States,58.8,,62.1,,1.6,,81.2,,5.3,,11.8,,16.5,d,..,,..,,..,,..,,92.5,,,,
12,"Hong Kong, China (SAR)",58.3,,60.3,,..,,79.9,,3.3,,9.5,,6.6,,6.9,,..,,..,,70,,72.9,,,,
13,New Zealand,63.6,,67.6,,6.4,,73.0,,5.9,,14.4,,11.9,,..,,..,,..,,112,,98.0,,,,
14,Sweden,59.8,,64.5,,1.7,,79.0,,7.4,,20.8,,7.2,,6.7,,..,,..,,..,,100.0,,,,
15,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,
16,United Kingdom,59.3,,62.7,,1.1,,79.1,,5.5,,15.1,,11.9,,12.7,,..,,..,,14,,99.5,,,,
17,Japan,57.3,,59.3,,3.7,,69.1,,3.3,,5.3,,3.9,,..,,..,,..,,98,,80.3,,,,
18,Korea (Republic of),58.6,,60.8,,6.1,,69.5,,3.7,,10.4,,18.8,e,..,,..,,..,,90,,77.6,,,,
19,Israel,60.8,,64.0,,1.1,,79.7,,5.0,,8.1,,15.7,,..,,..,,..,,98,,73.6,,,,
20,Luxembourg,55.7,,59.1,,1.3,,85.7,,5.9,,18.6,,6.3,,6.3,,..,,..,,112,,90.0,,,,
21,France,49.4,,55.2,,2.8,,75.8,,10.6,,24.7,,10.7,,7.2,,..,,..,,112,,100.0,,,,
22,Belgium,48.9,,53.6,,1.1,,77.4,,8.7,,21.8,,12.1,,10.5,,..,,..,,105,,84.6,,,,
23,Finland,52.9,,58.5,,3.9,,73.7,,9.6,,23.3,,10.2,,9.8,,..,,..,,147,,100.0,,,,
24,Austria,56.8,,60.2,,4.3,,69.7,,5.7,,10.2,,7.7,,8.6,,..,,..,,112,,100.0,,,,
25,Slovenia,52.1,,57.5,,7.7,,60.2,,9.3,,16.7,,9.4,,15.1,,..,,..,,105,,95.1,,,,
26,Italy,42.5,,48.4,,3.5,,69.5,,12.1,,42.1,,22.0,,18.1,,..,,..,,150,,81.1,,,,
27,Spain,45.3,,58.4,,4.2,,76.3,,22.4,,49.4,,17.1,,12.5,,..,,..,,112,,68.2,,,,
28,Czech Republic,56.4,,59.4,,2.7,,58.9,,5.2,,13.0,,8.1,,14.5,,..,,..,,196,,100.0,,,,
29,Greece,38.8,,51.7,,13.0,,71.8,,24.9,,49.2,,19.1,,29.6,,..,,..,,119,,77.4,,,,
30,Brunei Darussalam,62.3,,63.5,,0.6,,80.8,,1.9,,5.7,,..,,..,,..,,..,,91,,81.7,,,,
